A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,PCI
0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
0.42,0.0,0.0,0.6,4.32,0.0,0.0,2.128,0.0,0.0,0.212,0.0,0.0,1.28,0.96,0.0,0.0,0.0,0.56,0.0,0.0,0.0,3.08,0.6,56.0
0.0,0.88,0.0,0.0,0.0,0.96,0.0,1.206,3.36,0.0,0.46,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1.4,0.18,48.0
0.58,0.68,0.204,0.0,2.4,0.0,1.7,0.312,0.0,0.18,0.412,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.82,0.0,0.84,0.0,3.2,0.8,52.0
0.0,0.92,0.0,0.0,1.72,0.92,0.0,0.42,0.0,0.0,0.408,0.0,1.22,0.0,0.52,0.0,0.4,0.0,0.0,1.62,0.0,0.0,0.6,0.0,52.0
0.0,0.604,0.0,0.0,1.22,0.84,0.0,0.628,0.42,0.0,0.0,1.074,0.0,1.204,0.5,0.0,0.0,0.12,0.0,0.0,0.64,0.0,0.0,0.0,28.0
0.0,0.0,0.42,0.0,0.0,2.42,0.0,0.86,1.21,0.0,1.33,0.0,2.4,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,3.08,45.0
1.842,0.0,1.28,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,2.42,0.0,50.0
1.22,0.62,0.0,0.0,0.0,0.82,0.0,1.22,0.42,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.2,62.0
0.0,0.0,1.82,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.28,0.08,0.0,0.98,0.0,0.0,0.42,0.0,0.0,0.0,0.0,2.4,2.2,1.2,24.0
1.62,1.22,0.0,0.0,0.0,0.0,0.0,0.64,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,64.0
0.0,0.0,0.84,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.8,58.0
0.0,0.0,0.82,0.0,0.52,0.0,0.0,0.0,1.0,0.68,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,43.0
0.0,0.92,1.78,0.0,1.2,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,56.0
0.0,0.0,2.48,0.0,0.0,2.42,0.0,1.36,0.0,0.72,0.52,0.0,0.0,1.28,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,2.48,0.0,20.0
