IRI0,Rainfall,Temperature min,Temperature max,Truck CV,Target IRI
3.29,2172.7,7492,11285,1139,4.3
7.03,2820.9,7492,11285,1441,9.1
5.75,2820.9,7492,11285,1441,6.7
4.41,2820.9,7492,11285,1441,6.3
4.54,3346.9,7304,11067,1837,7
5.37,3346.9,7304,11067,1837,8.2
6.92,3439.4,7304,11067,1837,9.7
4.89,3439.4,7304,11067,1837,8.4
4.87,3439.4,7304,11067,1837,7
5.4,3439.4,7304,11067,1704,9.9
4.97,3439.4,7304,11067,1704,7.4
4.9,3439.4,7304,11067,1704,9.9
5.11,3439.4,7304,11067,1704,8.1
4.66,3439.4,7304,11067,1704,8.8
5.59,3439.4,7304,11067,1704,7.9
4.55,3439.4,7304,11067,1704,6.3
3.98,3439.4,7304,11067,1704,5.7
4.15,3439.4,7304,11067,1704,6.3
3.91,525.9,7304,11067,1704,4.9
3.35,525.9,7304,11067,1704,4.9
7.78,525.9,7304,11067,1704,10.5
5.19,525.9,7304,11067,1704,9
4.09,525.9,7304,11067,1704,6.3
3.61,525.9,7304,11067,1704,4.6
4.06,525.9,7304,11067,1704,6
4.23,3103.6,6297,10601,4638,6.4
3.9,3103.6,6297,10601,4638,5.3
5.22,3103.6,6297,10601,4638,7.8
5.35,3103.6,6297,10601,4638,7.8
5.29,3103.6,6297,10601,4638,7.8
6.06,4071.9,6297,10601,4638,10.4
4.52,4307.7,5264,11619,1815,5.1
4.38,4307.7,5264,11619,1815,5.3
4.58,3408.2,5264,11619,1815,5.8
5.62,3408.2,5264,11619,1815,8.8
3.72,2863.3,5264,11619,2157,4.6
3.85,2863.3,5264,11619,2157,5.2
3.99,2863.3,5264,11619,1774,4.8
4.02,2863.3,5264,11619,1774,4.6
5.96,2383.1,5264,11619,2058,8
6.1,2383.1,5264,11619,2058,6.9
6.2,3466.5,5264,11619,859,7.5
6.52,3466.5,5264,11619,859,10.3
6.26,3466.5,5264,11619,859,8.6
6.98,3466.5,5264,11619,1786,8.9
5.9,3466.5,5264,11619,1786,9
5.58,3466.5,5264,11619,1264,7.9
5.62,3466.5,5264,11619,1264,8.3
8.5,1704.2,5264,11619,1264,12.5
7.56,1704.2,5264,11619,1264,11.7
8.46,1704.2,5264,11619,1264,13.3
8.23,1704.2,5264,11619,1264,13.3
8.36,1704.2,5264,11619,1264,14.1
5.8,1704.2,5264,11619,1264,11.4
7.91,1704.2,7157,11162,1264,10
4.97,1704.2,7157,11162,1279,9
6.74,1704.2,7157,11162,1279,10.3
6.55,1704.2,7157,11162,1279,9.5
6.84,1704.2,7157,11162,1279,10.1
6.15,1704.2,7157,11162,1279,9.8
6.63,2206.5,7157,11162,1279,9.9
6.47,2206.5,7157,11162,1279,10
5.78,2732.6,7157,11162,949,8.6
5.85,2732.6,7157,11162,949,8.1
5.86,2732.6,7157,11162,949,8.7
5.88,2732.6,7157,11162,949,9.5
8.22,2732.6,7157,11162,949,10.8
6.78,3077.7,7157,11162,949,8.8
5.59,3077.7,7157,11162,949,9.6
5.27,3077.7,7157,11162,949,7.2
5.69,3077.7,7157,11162,949,7.9
6.01,3077.7,7157,11162,949,8.8
5.11,3077.7,7157,11162,1027,6.1
3.98,3077.7,7157,11162,1027,6
3.77,3077.7,7157,11162,1027,5
4.46,3077.7,7157,11162,1027,4.9
3.35,3077.7,7157,11162,1027,4.3
4.15,3077.7,7157,11162,1027,4.6
4.34,3813.9,6980,10623,1027,7
4.54,3813.9,6980,10623,1027,5.9
4.54,3813.9,6980,10623,1027,6.4
3.83,3813.9,6980,10623,1027,5.5
3.91,3813.9,6980,10623,1027,6
3.77,3044.1,6980,10623,1027,4.5
4.07,3044.1,6980,10623,1027,5.5
4.25,3044.1,6980,10623,1027,5.6
