S.N,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,IRI
346,0,0,0,0,0,0,0,0.18,0.23,0,0.11,0.15,0.626,0.48,0,0,0,0,0,0,0,0,0,0,2.68
347,0,0,0.2,0,0.5,0,0,0,0.14,0.15,0.88,0.11,0,0.99,1.21,0,0.05,0,0,0.61,0,0,0,0,5.15
348,0,0,0,0,0,0,0.15,1.22,0.48,0.15,0.65,0.65,0,0,0.14,0,0,0,0,0,0,0,0,0,5.98
349,0,0,0.25,0,0.22,0,0,0,0,0,0.48,0.15,0.6,0,0.4,0,0,0.15,0,0,0,0,0,0,8.66
350,0,0.6,0,0,0,0,0.15,0.15,0.83,0,0,0.25,0,0.55,1.09,0,0.32,0.15,0,0.165,0,0,0,0,12.65
351,0,0,0,0.15,0.66,0,0,0.63,0.52,0,0.56,0.621,0,0,1.01,0,0.15,0,0,0,0,0,0,0,6.99
352,0,0,0,0,0,0,0,0,0.15,0.11,0.6,0.74,0,0.15,0.55,0,0.22,0,0,0,0,0,0,0,7.48
353,0,0,0.55,0,1.2,0,0,0.52,0.66,0,0,0.51,0,0,0.45,0,0.05,0.05,0,0,0,0,0,0,9.52
354,0,0.56,0,0,0,0,0.32,0.76,0.31,0,0.47,0.25,0,0,0.45,0,0,0.041,0,0,0,0,0,0,5.68
355,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.55,1.441,0,0,0.01,0,0,0,0,0,0,3.56
356,0,0.48,0,0,0,0,0,0.22,0.15,0,0,1.2,0,0,0.32,0,0,0,0,0,0,0,0,0,6.58
357,0,0.6,0,0,0.62,0,0.33,0.95,0.582,0.63,0,0.63,0,0.15,0,0,0,0.23,0,0,0,0,0,0,6.12
358,0,0.262,0,0,0,0,0,0,1.32,0,0.15,0,0,0,0.94,0,0,0,0,0,0,0,0,0,3.22
359,0,0,0.12,0,0,0,0,0.26,0.26,0,0.62,0.69,0.32,0,0,0,0,0.051,0,0,0,0,0,0,8.78
360,0,0,0,0,0.62,0,0,1.17,0.55,0,0,0.15,0.15,0,0.51,0.15,0.23,0.085,0,0,0,0,0,0,11.2
361,0,0,0,0,0,0,0.15,1.203,0,0.33,0.176,0,0.5,0,0,0.15,0,0.051,0,0,0,0,0,0,9.65
362,0,0.25,0.32,0,0.623,0,0,0,0,0.25,0.22,0.66,0,0.51,0.74,0,0.021,0.1,0,0,0,0,0,0,9.85
363,0,0,0,0,0,0,0,0.156,0.15,0,0.85,0.36,0,0,1.12,0.05,0,0,0.36,0,0.51,0,0,0,4.58
364,0,0,0,0.25,0,0,1.43,0.78,0.15,0,0,0.63,0.15,0.51,0,0,0,0.23,0,0,0,0,0,0,6.85
365,0.36,0.15,0,0,0,0,0.88,1.5103,0.15,0.25,0.921,0,0,0.3,0.66,0,0,0.012,0,0.63,0,0.623,0,0,4.88
366,0,0,0.15,0,0,0.66,0,0,0.05,0.15,0.63,0,0,0,0.85,0.05,0,0,0.66,0,0,0,0,0.35,6.55
