ACLM,ACH,LTLM,LTH,PLM,PH,BH,PaLM,PaH,RuLM,RuH,DBL,DBH,RoadRoidIRI
0.0,0.0,0.512,0.131,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.696,0.763,2.727
0.0,0.0,0.164,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,2.586
0.0,0.26,0.165,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.383,2.704
0.0,0.0,0.698,0.0,0.0,0.0,0.18,0.0,0.0,0.005,0.0,0.0,0.349,2.308
0.55,0.0,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,2.362
0.12,0.0,0.251,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,2.663
0.0,0.26,0.0,0.251,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,2.501
0.0,0.362,0.264,0.471,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.142,2.96
0.0,0.0,0.0,0.273,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.3,0.164,2.297
0.0,0.339,0.0,0.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.134,2.78
0.0,0.113,0.579,0.251,0.0,0.0,0.0,0.149,0.12,0.055,0.0,0.24,0.12,2.526
0.0,0.158,0.469,0.131,0.0,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,2.366
0.0,0.339,0.556,1.014,0.099,0.0,0.0,0.36,0.011,0.0,0.0,1.011,0.327,3.658
0.0,0.961,0.483,0.262,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.035,0.0,3.254
0.0,0.588,0.0,0.0,0.009,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,2.654
0.0,0.452,0.447,0.251,0.135,0.0,0.15,0.01,0.0,0.0,0.0,0.441,0.218,3.528
0.0,0.158,0.0,0.382,0.0,0.0,0.23,0.0,0.0,0.0,0.218,0.469,0.013,2.625
0.0,0.339,0.0,0.774,0.01,0.0,0.0,0.009,0.0,0.0,0.0,0.12,0.436,3.028
0.0,0.0,0.144,0.262,0.363,0.011,0.11,0.134,0.0,0.0,0.0,0.0,0.0,3.11
0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.174,0.131,2.658
0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.131,0.0,2.686
0.0,0.0,0.0,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025
0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.059,0.0,0.0,0.0,0.164,2.325
0.0,0.0,0.0,0.251,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.392,0.0,2.542
