AC1,AC2,AC3,BE1,BE2,BE3,D1,D2,D3,F1,F2,F3,G1,G2,G3,H1,H2,H3,PCI
0.92,0.0,1.34,0.0,1.22,1.72,0.0,0.0,0.408,0.52,0.0,0.4,0.0,0.0,1.62,0.0,0.0,0.6,8.0
0.0,0.6,2.6,0.0,3.2,2.3,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.6,0.0,16.0
0.0,2.4,0.6,2.0,4.2,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0
0.0,1.1,0.0,0.0,0.0,2.6,0.0,2.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
3.0,0.0,3.2,0.0,0.45,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
0.6,1.45,0.0,0.0,0.0,0.0,1.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
0.0,0.5,1.8,0.0,0.4,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.6,0.0,40.0
0.0,2.0,0.0,0.0,0.0,2.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,68.0
0.0,0.6,1.2,0.0,1.2,0.0,1.3,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0
0.0,0.9,1.9,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
1.6,1.93,0.5,0.0,0.0,0.0,0.0,0.0,0.4,1.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,20.0
1.1,1.1,2.3,2.1,1.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
0.0,0.56,4.42,0.0,0.0,0.316,0.66,0.15,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0
0.36,1.2,0.81,0.0,0.99,0.0,0.59,0.0,0.355,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.66,36.0
0.56,2.36,0.0,0.15,0.0,0.0,0.0,0.32,0.88,0.6,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.152,28.0
0.0,0.0,0.78,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,82.0
1.43,0.0,1.2,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.65,60.0
0.65,1.21,0.0,0.0,0.0,0.0,0.0,1.46,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,58.0
1.16,1.22,0.772,0.155,0.15,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.778,0.0,84.0
1.4,2.3,2.12,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,50.0
1.5,4.81,2.4,1.4,1.4,0.0,1.7,0.0,0.0,2.1,0.15,0.0,0.0,0.0,0.5,0.0,0.0,0.0,16.0
1.1,1.96,3.75,0.0,1.05,0.0,0.0,0.0,0.96,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
0.0,3.6,0.15,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
0.54,2.2,0.96,0.0,0.0,4.56,0.78,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
0.4,0.0,3.15,0.0,1.1,0.0,0.0,0.9,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0
0.0,0.0,1.4,0.0,0.0,1.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,62.0
0.0,2.1,0.0,0.0,0.0,1.1,0.15,0.25,0.45,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,54.0
1.2,0.7,0.25,0.0,1.2,0.0,0.78,0.0,0.45,1.2,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.3,32.0
1.02,0.5,4.06,0.0,0.0,2.1,0.17,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,46.0
0.9,1.05,0.0,0.0,2.1,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,86.0
0.0,0.9,1.35,0.0,0.0,0.2,0.0,0.0,0.12,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.52,1.3,33.0
0.0,1.0,1.43,0.0,0.6,1.3,0.51,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
2.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.45,0.0,0.26,68.0
0.12,3.1,0.0,0.0,0.8,0.5,0.0,0.06,0.104,0.0,0.0,0.0,0.0,0.156,0.0,0.0,0.0,0.0,64.0
1.0,1.2,1.27,0.0,0.0,0.0,0.0,0.35,0.31,0.01,0.08,0.0,0.0,0.0,0.0,0.0,1.5,0.0,52.0
0.9,0.42,0.75,0.0,0.0,0.7,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,64.0
0.577,1.7,0.15,0.0,0.4,0.6,0.0,0.23,0.8165,0.23,0.01,0.0,0.0,0.21,0.0,0.0,0.0,0.0,52.0
0.23,1.32,1.83,0.0,0.11,0.0,0.25,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,52.0
1.1,2.5,0.81,0.0,0.0,0.0,0.0,0.366,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.6,56.0
0.0,1.49,1.03,0.0,0.4,0.7,0.0,0.3,0.16,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.15,0.0,50.0
0.0,2.0,0.0,0.0,0.5,0.65,0.56,0.0,0.99,0.18,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,42.0
1.25,1.8,0.89,0.0,0.32,0.0,0.0,0.66,0.5,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.15,0.0,60.0
1.2,1.1,3.33,0.0,1.4,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
0.0,1.63,1.25,0.0,0.0,1.46,0.0,0.89,1.92,0.16,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,26.0
1.5,0.23,0.5,0.0,0.6,0.45,0.12,0.32,1.19,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.62,0.0,58.0
0.4,3.76,2.77,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.26,0.46,0.0,60.0
0.0,0.0,0.4,0.15,0.7,0.9,0.0,0.23,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
0.0,0.0,1.96,0.0,0.0,1.5,0.0,1.16,1.35,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,36.0
0.0,1.8,1.79,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.02,0.0,0.0,0.48,0.0,0.0,0.0,0.0,50.0
0.056,1.42,0.65,0.0,2.118,2.4,0.23,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.78,0.0,0.0,52.0
0.0,1.9,0.0,0.0,2.6,1.45,0.0,0.15,0.74,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,46.0
0.0,0.6,4.1,0.0,0.0,0.0,0.0,0.66,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
0.0,1.515,0.0,0.89,1.1,2.1,0.0,0.22,0.95,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.0,0.0,48.0
0.0,1.35,2.0,0.0,0.0,1.8,0.0,0.45,0.56,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,42.0
0.15,0.8,0.0,0.0,0.0,2.05,0.78,0.66,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,87.0
0.0,0.6,1.12,0.0,0.0,1.5,0.0,0.0,0.23,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
0.0,0.56,0.58,0.0,0.0,1.2,0.0,0.65,0.12,0.15,0.0,0.0,0.0,0.0,0.45,0.0,1.25,0.0,40.0
0.0,0.08,0.0,0.23,0.0,0.45,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
0.95,0.9,12.5,0.0,1.22,0.0,0.15,2.6,0.15,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,22.0
0.0,0.0,0.78,0.0,0.0,0.81,0.0,0.0,0.12,0.065,0.0,0.0,0.0,0.0,0.05,0.9,0.4,0.56,54.0
